id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome
361,2012,Jaipur,2012-05-10,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,Bw Hilfenhaus,Sawai Mansingh Stadium,Bnj Oxenford,C Shamshuddin,Target is chased
362,2012,Pune,2012-05-11,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Royal Challengers Bangalore,35,0,Ch Gayle,Subrata Roy Sahara Stadium,Bf Bowden,Sk Tarapore,Target is defended
363,2012,Kolkata,2012-05-12,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,27,0,Rg Sharma,Eden Gardens,S Ravi,Sja Taufel,Target is defended
364,2012,Chennai,2012-05-12,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,9,Bw Hilfenhaus,"Ma Chidambaram Stadium, Chepauk",S Das,Br Doctrove,Target is chased
365,2012,Jaipur,2012-05-13,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,normal,0,Rajasthan Royals,45,0,A Chandila,Sawai Mansingh Stadium,Bf Bowden,Sk Tarapore,Target is defended
366,2012,Chandigarh,2012-05-13,Deccan Chargers,Kings Xi Punjab,Deccan Chargers,bat,normal,0,Kings Xi Punjab,0,4,Dj Hussey,"Punjab Cricket Association Stadium, Mohali",Hdpk Dharmasena,Bnj Oxenford,Target is chased
367,2012,Bangalore,2012-05-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,At Rayudu,M Chinnaswamy Stadium,S Das,Br Doctrove,Target is chased
368,2012,Kolkata,2012-05-14,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,Mek Hussey,Eden Gardens,Jd Cloete,Sja Taufel,Target is chased
369,2012,Delhi,2012-05-15,Kings Xi Punjab,Delhi Daredevils,Kings Xi Punjab,bat,normal,0,Delhi Daredevils,0,5,Ut Yadav,Feroz Shah Kotla,Hdpk Dharmasena,Bnj Oxenford,Target is chased
370,2012,Mumbai,2012-05-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Kolkata Knight Riders,32,0,Sp Narine,Wankhede Stadium,S Das,Br Doctrove,Target is defended
371,2012,Dharamsala,2012-05-17,Chennai Super Kings,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Ac Gilchrist,Himachal Pradesh Cricket Association Stadium,Va Kulkarni,Sk Tarapore,Target is chased
372,2012,Delhi,2012-05-17,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,21,0,Ch Gayle,Feroz Shah Kotla,Hdpk Dharmasena,C Shamshuddin,Target is defended
373,2012,Hyderabad,2012-05-18,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,0,Deccan Chargers,0,5,Dw Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,Sja Taufel,Target is chased
374,2012,Dharamsala,2012-05-19,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,Ut Yadav,Himachal Pradesh Cricket Association Stadium,Bf Bowden,Va Kulkarni,Target is chased
375,2012,Pune,2012-05-19,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium,S Asnani,Br Doctrove,Target is defended
376,2012,Hyderabad,2012-05-20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,9,0,Dw Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,Sja Taufel,Target is defended
377,2012,Jaipur,2012-05-20,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Mumbai Indians,0,10,Dr Smith,Sawai Mansingh Stadium,Hdpk Dharmasena,C Shamshuddin,Target is chased
378,2012,Pune,2012-05-22,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,18,0,Yk Pathan,Subrata Roy Sahara Stadium,Br Doctrove,Sja Taufel,Target is defended
379,2012,Bangalore,2012-05-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,38,0,Ms Dhoni,M Chinnaswamy Stadium,Bf Bowden,Hdpk Dharmasena,Target is defended
380,2012,Chennai,2012-05-25,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,86,0,M Vijay,"Ma Chidambaram Stadium, Chepauk",Br Doctrove,Sja Taufel,Target is defended
381,2012,Chennai,2012-05-27,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,5,Ms Bisla,"Ma Chidambaram Stadium, Chepauk",Bf Bowden,Sja Taufel,Target is chased
382,2013,Kolkata,2013-04-03,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,Sp Narine,Eden Gardens,S Ravi,Sja Taufel,Target is chased
383,2013,Bangalore,2013-04-04,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,2,0,Ch Gayle,M Chinnaswamy Stadium,Va Kulkarni,C Shamshuddin,Target is defended
384,2013,Hyderabad,2013-04-05,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,0,Sunrisers Hyderabad,22,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",S Ravi,Sja Taufel,Target is defended
385,2013,Delhi,2013-04-06,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Rajasthan Royals,5,0,R Dravid,Feroz Shah Kotla,S Das,C Shamshuddin,Target is defended
386,2013,Chennai,2013-04-06,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,9,0,Ka Pollard,"Ma Chidambaram Stadium, Chepauk",M Erasmus,Va Kulkarni,Target is defended
387,2013,Pune,2013-04-07,Pune Warriors,Kings Xi Punjab,Pune Warriors,bat,normal,0,Kings Xi Punjab,0,8,M Vohra,Subrata Roy Sahara Stadium,S Asnani,Sja Taufel,Target is chased
388,2013,Hyderabad,2013-04-07,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Sunrisers Hyderabad,0,0,Gh Vihari,"Rajiv Gandhi International Stadium, Uppal",Ak Chaudhary,S Ravi,Tie/No Result
389,2013,Jaipur,2013-04-08,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,19,0,Sk Trivedi,Sawai Mansingh Stadium,Aleem Dar,S Das,Target is defended
390,2013,Mumbai,2013-04-09,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Mumbai Indians,44,0,Kd Karthik,Wankhede Stadium,M Erasmus,Va Kulkarni,Target is defended
391,2013,Chandigarh,2013-04-10,Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,10,Mek Hussey,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,C Shamshuddin,Target is chased
392,2013,Bangalore,2013-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,Ch Gayle,M Chinnaswamy Stadium,Asad Rauf,Ak Chaudhary,Target is chased
393,2013,Pune,2013-04-11,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,normal,0,Pune Warriors,0,7,Aj Finch,Subrata Roy Sahara Stadium,M Erasmus,K Srinath,Target is chased
394,2013,Delhi,2013-04-12,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Sunrisers Hyderabad,0,3,A Mishra,Feroz Shah Kotla,Aleem Dar,Subroto Das,Target is chased
395,2013,Mumbai,2013-04-13,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,Mumbai Indians,41,0,Rg Sharma,Wankhede Stadium,S Ravi,Sja Taufel,Target is defended
396,2013,Chennai,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,Ra Jadeja,"Ma Chidambaram Stadium, Chepauk",Asad Rauf,Ak Chaudhary,Target is chased
397,2013,Kolkata,2013-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,48,0,G Gambhir,Eden Gardens,M Erasmus,Va Kulkarni,Target is defended
398,2013,Jaipur,2013-04-14,Kings Xi Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,Jp Faulkner,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,Target is chased
399,2013,Chennai,2013-04-15,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Pune Warriors,24,0,Spd Smith,"Ma Chidambaram Stadium, Chepauk",Asad Rauf,Ak Chaudhary,Target is defended
400,2013,Chandigarh,2013-04-16,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings Xi Punjab,4,0,Ms Gony,"Punjab Cricket Association Stadium, Mohali",Ck Nandan,Sja Taufel,Target is defended
401,2013,Bangalore,2013-04-16,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,0,0,V Kohli,M Chinnaswamy Stadium,M Erasmus,Va Kulkarni,Tie/No Result
402,2013,Pune,2013-04-17,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,0,Sunrisers Hyderabad,11,0,A Mishra,Subrata Roy Sahara Stadium,Asad Rauf,Ak Chaudhary,Target is defended
403,2013,Jaipur,2013-04-17,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,87,0,Am Rahane,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,Target is defended
404,2013,Delhi,2013-04-18,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,86,0,Mek Hussey,Feroz Shah Kotla,M Erasmus,Va Kulkarni,Target is defended
405,2013,Hyderabad,2013-04-19,Kings Xi Punjab,Sunrisers Hyderabad,Kings Xi Punjab,bat,normal,0,Sunrisers Hyderabad,0,5,Gh Vihari,"Rajiv Gandhi International Stadium, Uppal",Hdpk Dharmasena,Ck Nandan,Target is chased
406,2013,Kolkata,2013-04-20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,4,Ra Jadeja,Eden Gardens,Asad Rauf,Ak Chaudhary,Target is chased
407,2013,Bangalore,2013-04-20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,Target is chased
408,2013,Delhi,2013-04-21,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,0,9,V Sehwag,Feroz Shah Kotla,Hdpk Dharmasena,S Ravi,Target is chased
409,2013,Chandigarh,2013-04-21,Pune Warriors,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,7,Da Miller,"Punjab Cricket Association Stadium, Mohali",M Erasmus,K Srinath,Target is chased
410,2013,Chennai,2013-04-22,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,5,Mek Hussey,"Ma Chidambaram Stadium, Chepauk",S Asnani,Ak Chaudhary,Target is chased
411,2013,Bangalore,2013-04-23,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Royal Challengers Bangalore,130,0,Ch Gayle,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,Target is defended
412,2013,Dharamsala,2013-05-16,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kings Xi Punjab,7,0,Da Miller,Himachal Pradesh Cricket Association Stadium,Hdpk Dharmasena,S Ravi,Target is defended
413,2013,Kolkata,2013-04-24,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,5,Dr Smith,Eden Gardens,Hdpk Dharmasena,S Ravi,Target is chased
414,2013,Chennai,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,0,5,Ms Dhoni,"Ma Chidambaram Stadium, Chepauk",Aleem Dar,S Das,Target is chased
